Cluster,L_opencv,a_opencv,b_opencv,RGB_center,Hue_deg,Sat,Val,Label,LabelColor,Gambar
3,124,107,152,"(93, 124, 74)",97.2,0.403,0.486,Sehat,"(0, 255, 0)",0014_0005_nobg.png
4,59,118,137,"(45, 59, 41)",106.67,0.305,0.231,Sehat,"(0, 255, 0)",0014_0005_nobg.png
0,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0022_0001_nobg.png
1,109,107,150,"(77, 109, 63)",101.74,0.422,0.427,Sehat,"(0, 255, 0)",0022_0001_nobg.png
2,80,116,140,"(61, 79, 55)",105.0,0.304,0.31,Sehat,"(0, 255, 0)",0022_0001_nobg.png
3,125,106,150,"(91, 126, 78)",103.75,0.381,0.494,Sehat,"(0, 255, 0)",0022_0001_nobg.png
4,39,121,135,"(32, 41, 28)",101.54,0.317,0.161,Sehat,"(0, 255, 0)",0022_0001_nobg.png
0,99,109,151,"(72, 99, 53)",95.22,0.465,0.388,Sehat,"(0, 255, 0)",0022_0002_nobg.png
1,5,126,129,"(3, 9, 5)",140.0,0.667,0.035,Sehat,"(0, 255, 0)",0022_0002_nobg.png
2,134,107,152,"(103, 134, 83)",96.47,0.381,0.525,Sehat,"(0, 255, 0)",0022_0002_nobg.png
3,51,119,138,"(40, 52, 33)",97.89,0.365,0.204,Sehat,"(0, 255, 0)",0022_0002_nobg.png
4,115,107,152,"(84, 115, 65)",97.2,0.435,0.451,Sehat,"(0, 255, 0)",0022_0002_nobg.png
0,120,107,153,"(90, 120, 68)",94.62,0.433,0.471,Sehat,"(0, 255, 0)",0022_0003_nobg.png
1,56,124,141,"(54, 54, 33)",60.0,0.389,0.212,Sehat,"(0, 255, 0)",0022_0003_nobg.png
2,102,112,150,"(80, 101, 57)",88.64,0.436,0.396,Sehat,"(0, 255, 0)",0022_0003_nobg.png
3,4,127,129,"(4, 6, 3)",100.0,0.5,0.024,Sehat,"(0, 255, 0)",0022_0003_nobg.png
4,150,128,157,"(159, 140, 90)",43.48,0.434,0.624,Sehat,"(0, 255, 0)",0022_0003_nobg.png
0,143,107,162,"(118, 143, 73)",81.43,0.49,0.561,Sehat,"(0, 255, 0)",0022_0004_nobg.png
1,4,127,129,"(4, 6, 3)",100.0,0.5,0.024,Sehat,"(0, 255, 0)",0022_0004_nobg.png
2,98,114,152,"(81, 96, 50)",79.57,0.479,0.376,Sehat,"(0, 255, 0)",0022_0004_nobg.png
3,125,107,161,"(99, 125, 58)",83.28,0.536,0.49,Sehat,"(0, 255, 0)",0022_0004_nobg.png
4,47,121,141,"(42, 47, 25)",73.64,0.468,0.184,Sehat,"(0, 255, 0)",0022_0004_nobg.png
0,3,127,128,"(2, 5, 4)",160.0,0.6,0.02,Sakit Berat,"(255, 0, 0)",0022_0005_nobg.png
1,90,109,148,"(62, 90, 50)",102.0,0.444,0.353,Sehat,"(0, 255, 0)",0022_0005_nobg.png
2,40,120,137,"(32, 42, 26)",97.5,0.381,0.165,Sehat,"(0, 255, 0)",0022_0005_nobg.png
3,75,110,148,"(50, 76, 37)",100.0,0.513,0.298,Sehat,"(0, 255, 0)",0022_0005_nobg.png
4,106,109,148,"(77, 106, 64)",101.43,0.396,0.416,Sehat,"(0, 255, 0)",0022_0005_nobg.png
